app,time,outlier,time2
TikTok,0,0,0
Instagram,1,0,1
Facebook,1,0,1
YouTube,2,0,2
TikTok,0.8333333333333334,0,0.8333333333333334
Instagram,0,0,0
Facebook,0,0,0
YouTube,1,0,1
TikTok,8,0,8
Instagram,4,0,4
Facebook,0,0,0
YouTube,8,0,8
TikTok,22.583333333333332,1,NA
Instagram,11.35,0,11.35
Facebook,1.95,0,1.95
YouTube,2.6666666666666665,0,2.6666666666666665
TikTok,7,0,7
Instagram,1.0666666666666667,0,1.0666666666666667
Facebook,0,0,0
YouTube,3.4333333333333336,0,3.4333333333333336
TikTok,1.2666666666666666,0,1.2666666666666666
Instagram,1,0,1
Facebook,14,1,NA
YouTube,3,0,3
TikTok,8,0,8
Instagram,12,0,12
Facebook,5,0,5
YouTube,2,0,2
TikTok,13.183333333333334,0,13.183333333333334
Instagram,0.7166666666666667,0,0.7166666666666667
Facebook,4.35,0,4.35
YouTube,6.283333333333333,0,6.283333333333333
TikTok,0.85,0,0.85
Instagram,0.9166666666666666,0,0.9166666666666666
Facebook,0.45,0,0.45
YouTube,0.5833333333333334,0,0.5833333333333334
TikTok,22.566666666666666,1,NA
Instagram,10.833333333333334,0,10.833333333333334
Facebook,3.45,0,3.45
YouTube,11.9,1,NA
TikTok,4,0,4
Instagram,0,0,0
Facebook,0,0,0
YouTube,2,0,2
TikTok,2.783333333333333,0,2.783333333333333
Instagram,4.2,0,4.2
Facebook,3.75,0,3.75
YouTube,3.75,0,3.75
TikTok,3,0,3
Instagram,2,0,2
Facebook,1,0,1
YouTube,2,0,2
TikTok,0,0,0
Instagram,0.16666666666666666,0,0.16666666666666666
Facebook,10,0,10
YouTube,5,0,5
TikTok,4,0,4
Instagram,6,0,6
Facebook,1,0,1
YouTube,10,0,10
TikTok,0,0,0
Instagram,6.066666666666666,0,6.066666666666666
Facebook,7.216666666666667,0,7.216666666666667
YouTube,11.566666666666666,0,11.566666666666666
TikTok,0,0,0
Instagram,0,0,0
Facebook,1,0,1
YouTube,9,0,9
TikTok,1.95,0,1.95
Instagram,2.95,0,2.95
Facebook,1.95,0,1.95
YouTube,1.3,0,1.3
TikTok,1.0166666666666666,0,1.0166666666666666
Instagram,4.083333333333333,0,4.083333333333333
Facebook,6.3,0,6.3
YouTube,0.8166666666666667,0,0.8166666666666667
TikTok,0,0,0
Instagram,5.45,0,5.45
Facebook,23.833333333333332,1,NA
YouTube,8.183333333333334,0,8.183333333333334
TikTok,1.05,0,1.05
Instagram,0.16666666666666666,0,0.16666666666666666
Facebook,2,0,2
YouTube,0,0,0
TikTok,3,0,3
Instagram,3,0,3
Facebook,12,1,NA
YouTube,0,0,0
TikTok,0.31666666666666665,0,0.31666666666666665
Instagram,4,0,4
Facebook,1,0,1
YouTube,3.8333333333333335,0,3.8333333333333335
TikTok,0.6333333333333333,0,0.6333333333333333
Instagram,9.05,0,9.05
Facebook,13.716666666666667,1,NA
YouTube,0.4166666666666667,0,0.4166666666666667
TikTok,1.2666666666666666,0,1.2666666666666666
Instagram,0.85,0,0.85
Facebook,0.18333333333333332,0,0.18333333333333332
YouTube,2.35,0,2.35
TikTok,10.733333333333333,0,10.733333333333333
Instagram,9.133333333333333,0,9.133333333333333
Facebook,3.6833333333333336,0,3.6833333333333336
YouTube,0.48333333333333334,0,0.48333333333333334
TikTok,12,0,12
Instagram,23,1,NA
Facebook,10,0,10
YouTube,23.833333333333332,1,NA
TikTok,2.3333333333333335,0,2.3333333333333335
Instagram,1,0,1
Facebook,0,0,0
YouTube,0,0,0
TikTok,15.583333333333334,0,15.583333333333334
Instagram,4.65,0,4.65
Facebook,0.25,0,0.25
YouTube,1.3833333333333333,0,1.3833333333333333
TikTok,6,0,6
Instagram,2,0,2
Facebook,0,0,0
YouTube,1,0,1
TikTok,14,0,14
Instagram,1,0,1
Facebook,1,0,1
YouTube,8,0,8
TikTok,0.38333333333333336,0,0.38333333333333336
Instagram,1,0,1
Facebook,2.6,0,2.6
YouTube,1.3833333333333333,0,1.3833333333333333
TikTok,20,0,20
Instagram,20,1,NA
